iter	Logloss
0	0.4795762983
1	0.3235810051
2	0.2514771213
3	0.1941745007
4	0.1455576167
5	0.09764437641
6	0.07287926711
7	0.0578875314
8	0.03977393544
9	0.02777429999
10	0.01965889027
11	0.01423502071
12	0.01051360532
13	0.007792551619
14	0.005865093434
15	0.004521202337
16	0.003548301962
17	0.002806055901
18	0.002231526656
19	0.001805034412
20	0.001509052553
21	0.001259098595
22	0.001060589799
23	0.0009075889686
24	0.0007828429194
25	0.0006881584232
26	0.0006022642367
27	0.0005762522178
28	0.0005598160505
29	0.0005386210065
30	0.0005200294411
31	0.0005062474386
32	0.000495512765
33	0.0004832820651
34	0.0004736026048
35	0.000469422993
36	0.0004598431687
37	0.0004335217388
38	0.0004103114219
39	0.0004074563093
40	0.0004055459938
41	0.0004027447463
42	0.0004001309848
43	0.0003908055795
44	0.0003869313036
45	0.0003831257844
46	0.0003802836817
47	0.000380281847
48	0.0003770928702
49	0.0003735146686
50	0.0003336899824
51	0.0003303830441
52	0.0003273679886
53	0.0003165999602
54	0.0003036770233
55	0.0003036757989
56	0.0002939673269
57	0.0002939653626
58	0.0002898754425
59	0.0002641513178
60	0.0002541973686
61	0.000254185609
62	0.0002395469132
63	0.0002395469132
64	0.0002395469132
65	0.0002395461261
66	0.0002395461261
67	0.0002395461261
68	0.0002395445208
69	0.0002377416281
70	0.000237740639
71	0.000237740639
72	0.0002377388638
73	0.0002377378612
74	0.0002377302588
75	0.0002377302588
76	0.00023772904
77	0.0002314484311
78	0.0002314484311
79	0.0002314477078
80	0.0002314453942
81	0.0002298489382
82	0.0002272905645
83	0.0002181466994
84	0.0002181466994
85	0.000218145012
86	0.000218143494
87	0.000218143494
88	0.0002181418719
89	0.0002181411184
90	0.000218139311
91	0.0002181377751
92	0.0002181377751
93	0.0002137612749
94	0.0002137612749
95	0.0002137612749
96	0.0002137612749
97	0.0002137612749
98	0.0002137612749
99	0.0002137597618
100	0.0002137561843
101	0.0002137561843
102	0.0002053936598
103	0.0002053922614
104	0.0002053915687
105	0.0002053915687
106	0.0002020553267
107	0.0002020532495
108	0.000198964726
109	0.000198964726
110	0.0001989635787
111	0.0001989635787
112	0.0001989635787
113	0.0001989635787
114	0.0001989628632
115	0.0001989628632
116	0.0001989628632
117	0.0001989628632
118	0.0001989628632
119	0.0001989628632
120	0.0001989628632
121	0.0001989628632
122	0.0001989621445
123	0.0001989602285
124	0.00019895867
125	0.00019895867
126	0.0001989578117
127	0.0001989547641
128	0.0001989547641
129	0.0001989547641
130	0.0001989547641
131	0.0001989547641
132	0.0001989547641
133	0.0001989547641
134	0.0001989547641
135	0.0001989547641
136	0.0001989547641
137	0.0001989547641
138	0.0001989547641
139	0.0001927469933
140	0.0001927462562
141	0.0001927462562
142	0.0001927446826
143	0.0001927446826
144	0.0001927446826
